configuration,level,period_ms,lines,seed,epochs,task_set_accepted,cluster_capacity_gpu0,cluster_capacity_gpu1,assigned_per_slice_gpu0,assigned_per_slice_gpu1,selected_voltage_gpu0,selected_voltage_gpu1,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s
HEAT-adapted-L1,1,150,6,303,1000,True,26,12,24,0,0.85,0.6,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,b40e3956fc736148fe48725c99a765faa7ca344bcdde335f7de5815dce321912,6000,6000,0.4247423119946171,6000,0.4247423119946171,0.6654705787174815,0.3345294212825185,0.042,0.0,48.82251201786721,1198.608729026904,68.3542283399036,149.99230588235272
HEAT-adapted-L1,1,150,6,404,1000,True,26,12,24,0,0.85,0.6,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,90dd8c8ff63030dd9dbbd25c0b5e9d426cebafe711c88974834a56210f18bdc1,6000,6000,0.4247423119946173,6000,0.4247423119946173,0.6654705787174815,0.3345294212825185,0.042,0.0,48.82251201786721,1198.608729026904,68.3542283399036,149.99230588235272
HEAT-adapted-L1,1,150,6,505,1000,True,26,12,24,0,0.85,0.6,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,64fec059e2099a382af339a6780c28497caac0c5ebb5f50adb7d0e94049738cd,6000,6000,0.4247423119946169,6000,0.4247423119946169,0.6654705787174815,0.3345294212825185,0.042,0.0,48.82251201786721,1198.608729026904,68.3542283399036,149.99230588235272
HEAT-adapted-L1,1,150,6,606,1000,True,26,12,24,0,0.85,0.6,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,ae880915da58fff9f20affe7a5a25900cde6365bd54144492baa5036a1d84adc,6000,6000,0.42474231199461654,6000,0.42474231199461654,0.6654705787174815,0.3345294212825185,0.042,0.0,48.82251201786721,1198.608729026904,68.3542283399036,149.99230588235272
HEAT-adapted-L1,1,150,6,707,1000,True,26,12,24,0,0.85,0.6,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,c0f27110c744a3fc7a33aecc95f2268b53928f9aef18cbadd02b335ecd207f0e,6000,6000,0.4247423119946171,6000,0.4247423119946171,0.6654705787174815,0.3345294212825185,0.042,0.0,48.82251201786721,1198.608729026904,68.3542283399036,149.99230588235272
HEAT-adapted-L1,1,150,6,808,1000,True,26,12,24,0,0.85,0.6,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,063cb3f34bb5042d5a315795e5ea1e803957554d0c67c50190b2b486a6968f17,6000,6000,0.42474231199461726,6000,0.42474231199461726,0.6654705787174815,0.3345294212825185,0.042,0.0,48.82251201786721,1198.608729026904,68.3542283399036,149.99230588235272
HEAT-adapted-L1,1,150,6,909,1000,True,26,12,24,0,0.85,0.6,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,43ca3bc1908129b5c2ac96d7e4719f6173824add31150444bda10a9206dc8922,6000,6000,0.42474231199461704,6000,0.42474231199461704,0.6654705787174815,0.3345294212825185,0.042,0.0,48.82251201786721,1198.608729026904,68.3542283399036,149.99230588235272
HEAT-adapted-L1,1,150,6,1010,1000,True,26,12,24,0,0.85,0.6,6000,6000,0,0,0,6000,0,0.0,0.0,0.0,da29db140ec3433f5a7bef5bfca040b9d439fbd33929da0e9b1ac51f823030f9,6000,6000,0.4247423119946177,6000,0.4247423119946177,0.6654705787174815,0.3345294212825185,0.042,0.0,48.82251201786721,1198.608729026904,68.3542283399036,149.99230588235272
HEAT-adapted-L1,1,150,8,101,1000,True,26,12,26,6,0.88,0.6,8000,8000,0,0,0,8000,0,0.0,0.0,0.0,48536fc5e075a2292b527fb68f9e0371d396b2957068a8b27317e7a61bf9ac13,8000,8000,0.4247423119946175,8000,0.4247423119946175,0.6654705787174815,0.3345294212825185,0.042,0.0,53.04192899671133,2454.2217572346844,76.8456978341727,149.9989090909094
HEAT-adapted-L1,1,150,8,202,1000,True,26,12,26,6,0.88,0.6,8000,8000,0,0,0,8000,0,0.0,0.0,0.0,570e9630deff505ba1c5363a004cd8917cdc4ddeaaa2dfbdb2999707f9626552,8000,8000,0.4247423119946172,8000,0.4247423119946172,0.6654705787174815,0.3345294212825185,0.042,0.0,53.04192899671133,2454.2217572346844,76.8456978341727,149.9989090909094
