configuration,total_regions,completed,expired_waiting,admission_infeasible,deadline_misses,thermal_violations,period_ms,lines,epochs,seed,scheduler,total_mandatory,missed_mandatory,mandatory_dmr,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds,release_mode,wcet_scale,mandatory_infeasible,optional_skipped,dispatch_infeasible,budget_mode,network_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count
EDF-Dynamic-Reservation,28000,5776,0,22224,0,0,50,7,1000,303,edf_dynamic_reservation,7000,5856,0.8365714285714285,0.6350755540166424,0.1310070142857188,0.11250422857142879,5776,0.1297658532072966,7000,7000,0.11026914436209521,1862,0.4531511841218872,0.138450974671495,0.861549025328505,0.7705714285714286,0.342882039759792,0.6845190525054932,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,28000,5784,0,22216,0,0,50,7,1000,404,edf_dynamic_reservation,7000,5848,0.8354285714285714,0.6351528008298974,0.13120442142857594,0.11329097142857165,5784,0.13037508782038632,7000,7000,0.11131282062069131,1872,0.45434213713682947,0.13769172252902662,0.8623082774709734,0.7682857142857142,0.34302931651613816,0.6852891445159912,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,28000,5776,0,22224,0,0,50,7,1000,505,edf_dynamic_reservation,7000,5856,0.8365714285714285,0.6355832756232911,0.1311117500000046,0.11250422857142879,5776,0.12948781616540928,7000,7000,0.10956104729110105,1874,0.448389593069437,0.13585560618374773,0.8641443938162523,0.77,0.33882854577833593,0.6924891471862793,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,28000,5780,0,22220,0,0,50,7,1000,606,edf_dynamic_reservation,7000,5852,0.836,0.6354140138408516,0.13116760714286152,0.11289760000000022,5780,0.12956282281115927,7000,7000,0.11050266597714563,1872,0.4529120295660239,0.13630578327487367,0.8636942167251264,0.7688571428571429,0.34240936358887825,0.7156682014465332,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,28000,5776,0,22224,0,0,50,7,1000,707,edf_dynamic_reservation,7000,5856,0.8365714285714285,0.6358602146814616,0.13116887857143295,0.11250422857142879,5776,0.1296542537246151,7000,7000,0.10961580811307435,1866,0.4504666126256314,0.13682413868614865,0.8631758613138514,0.7711428571428571,0.34085080451255706,0.7132418155670166,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,28000,5788,0,22212,0,0,50,7,1000,808,edf_dynamic_reservation,7000,5844,0.8348571428571429,0.6349380096752116,0.1312507571428616,0.11368434285714309,5788,0.12964136919619645,7000,7000,0.11014501265136385,1884,0.4492278532781752,0.1362936901600562,0.8637063098399438,0.7674285714285715,0.3390828406268114,0.6938910484313965,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,28000,5786,0,22214,0,0,50,7,1000,909,edf_dynamic_reservation,7000,5846,0.8351428571428572,0.6346537158659055,0.13114665714286175,0.11348765714285737,5786,0.13011017712817266,7000,7000,0.11008730475794823,1874,0.4471877937637607,0.13669629550448054,0.8633037044955194,0.7708571428571429,0.33710048900581246,0.6998641490936279,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,28000,5772,0,22228,0,0,50,7,1000,1010,edf_dynamic_reservation,7000,5860,0.8371428571428572,0.6352446985447197,0.13095115714286149,0.11211085714285736,5772,0.1296002893603819,7000,7000,0.10935161350671921,1878,0.44631571014364974,0.13426633303799992,0.865733666962,0.7714285714285715,0.3369640966369305,0.7147347927093506,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,32000,5760,0,26240,0,0,50,8,1000,101,edf_dynamic_reservation,8000,6888,0.861,0.6347352777777994,0.11425235000000389,0.09568760000000019,5760,0.111521532249822,8000,8000,0.09763144973011186,1880,0.45881874109430715,0.10995057636998064,0.8900494236300194,0.799,0.3611872913641953,0.8239097595214844,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,32000,5744,0,26256,0,0,50,8,1000,202,edf_dynamic_reservation,8000,6832,0.854,0.6354142061281572,0.11405685000000423,0.1005064000000002,5744,0.11375788220843161,8000,8000,0.09733738096995713,1888,0.4492123979887629,0.12277553069963192,0.8772244693003681,0.796,0.35187501701880575,0.8384463787078857,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,32000,5808,0,26192,0,0,50,8,1000,303,edf_dynamic_reservation,8000,6904,0.863,0.635107851239689,0.11527207500000357,0.09431080000000018,5808,0.11414232024215208,8000,8000,0.09503965546922782,1896,0.43289838440184647,0.12777814732232826,0.8722218526776717,0.797,0.33785872893261865,0.8562502861022949,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,32000,5816,0,26184,0,0,50,8,1000,404,edf_dynamic_reservation,8000,6864,0.858,0.6355055020632955,0.11550312500000397,0.0977528000000002,5816,0.1147299995573475,8000,8000,0.09710916954712186,1872,0.45367089886471945,0.12934622513538724,0.8706537748646128,0.794,0.3565617293175976,0.8847193717956543,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,32000,5744,0,26256,0,0,50,8,1000,505,edf_dynamic_reservation,8000,6864,0.858,0.635785515320356,0.1141235000000039,0.0977528000000002,5744,0.11299954594032767,8000,8000,0.09946653461408753,1864,0.4735019310313963,0.11471386824865804,0.885286131751342,0.791,0.37403539641730876,0.8224852085113525,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,32000,5704,0,26296,0,0,50,8,1000,606,edf_dynamic_reservation,8000,6896,0.862,0.6369412342216186,0.11353477500000352,0.09499920000000019,5704,0.1115535923498506,8000,8000,0.09607291024716237,1856,0.4600051580797515,0.13117287423206514,0.8688271257679349,0.802,0.36393224783258915,0.8220365047454834,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,32000,5888,0,26112,0,0,50,8,1000,707,edf_dynamic_reservation,8000,6872,0.859,0.6341456521739353,0.11668280000000408,0.09706440000000019,5888,0.11538073621390413,8000,8000,0.09961949649888723,1880,0.4618848331951226,0.11614870395780565,0.8838512960421944,0.797,0.36226533669623534,0.8851034641265869,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,32000,5752,0,26248,0,0,50,8,1000,808,edf_dynamic_reservation,8000,6880,0.86,0.636001251738546,0.11432122500000365,0.09637600000000018,5752,0.11338150537239353,8000,8000,0.09438047186501276,1880,0.4410296336585112,0.11180961900011795,0.888190380999882,0.8,0.3466491617934985,0.8209571838378906,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,32000,5848,0,26152,0,0,50,8,1000,909,edf_dynamic_reservation,8000,6920,0.865,0.6339852257182158,0.11586080000000396,0.09293400000000018,5848,0.11431669518360181,8000,8000,0.09083175538858586,1816,0.43363881572526125,0.11820532241415735,0.8817946775858426,0.808,0.3428070603366754,0.8295795917510986,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,32000,5872,0,26128,0,0,50,8,1000,1010,edf_dynamic_reservation,8000,6840,0.855,0.6333553133515216,0.11622070000000422,0.0998180000000002,5872,0.11437741247476367,8000,8000,0.10034520465133781,1872,0.4648864521065572,0.1288261976478668,0.8711738023521332,0.799,0.36454124745521943,0.80977463722229,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,36000,5792,0,30208,0,0,50,9,1000,101,edf_dynamic_reservation,9000,7840,0.8711111111111111,0.6346774861878679,0.10211255555555919,0.08872711111111128,5792,0.10112813902141647,9000,9000,0.08633465953255205,1888,0.4495754563026483,0.10646765332588859,0.8935323466741114,0.8202222222222222,0.36324079677009624,0.9601435661315918,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,36000,5796,0,30204,0,0,50,9,1000,202,edf_dynamic_reservation,9000,7836,0.8706666666666667,0.6345093167702096,0.10215600000000376,0.08903306666666684,5796,0.10144324885336146,9000,9000,0.08621435884067455,1880,0.4503696533888079,0.10626556237046994,0.8937344376295301,0.8208888888888889,0.36415529454813333,0.956456184387207,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,36000,5776,0,30224,0,0,50,9,1000,303,edf_dynamic_reservation,9000,7856,0.8728888888888889,0.6350755540166428,0.10189434444444803,0.08750328888888906,5776,0.10092899693900845,9000,9000,0.08576489005940724,1862,0.453151184121887,0.10768409141116278,0.8923159085888372,0.8215555555555556,0.36738629406247975,0.9700512886047363,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,36000,5784,0,30216,0,0,50,9,1000,404,edf_dynamic_reservation,9000,7848,0.872,0.6351528008298978,0.10204788333333692,0.08811520000000017,5784,0.10140284608252229,9000,9000,0.08657663826053758,1872,0.454342137136829,0.1070935619670207,0.8929064380329793,0.8197777777777778,0.36776549887629145,0.9696412086486816,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,36000,5776,0,30224,0,0,50,9,1000,505,edf_dynamic_reservation,9000,7856,0.8728888888888889,0.6355832756232905,0.10197580555555906,0.08750328888888906,5776,0.10071274590642937,9000,9000,0.08521414789307852,1874,0.44838959306943693,0.10566547147624823,0.8943345285237517,0.8211111111111111,0.3631754451763584,0.9944319725036621,periodic,1.0,,,,,,,,,,,,
EDF-Dynamic-Reservation,36000,5780,0,30220,0,0,50,9,1000,606,edf_dynamic_reservation,9000,7852,0.8724444444444445,0.6354140138408525,0.10201925000000354,0.08780924444444461,5780,0.10077108440867909,9000,9000,0.08594651798222452,1872,0.4529120295660243,0.10601560921379062,0.8939843907862094,0.8202222222222222,0.36696551158379975,0.9529469013214111,periodic,1.0,,,,,,,,,,,,
