time_s,gpu,temperature_c,voltage_v
2.423,1,50.38014437440481,0.6
2.424,1,50.36983861992526,0.6
2.4250000000000003,1,50.359538076778264,0.6
2.426,1,50.3492427423286,0.6
2.427,1,50.33895261394238,0.6
2.428,1,50.32866768898704,0.6
2.4290000000000003,1,50.318387964831345,0.6
2.43,1,50.3081134388454,0.6
2.431,1,50.29784410840064,0.6
2.432,1,50.28757997086982,0.6
2.433,1,50.277321023627024,0.6
2.434,1,50.267067264047675,0.6
2.435,1,50.25681868950852,0.6
2.436,1,50.24657529738762,0.6
2.437,1,50.25770435918564,0.88
2.438,1,50.27131620946563,0.88
2.439,1,50.28492117661264,0.88
2.44,1,50.29851926410728,0.88
2.441,1,50.31211047542838,0.88
2.442,1,50.32569481405307,0.88
2.443,1,50.339272283456644,0.88
2.444,1,50.352842887112686,0.88
2.445,1,50.36640662849302,0.88
2.446,1,50.3799635110677,0.88
2.447,1,50.39351353830504,0.88
2.448,1,50.40705671367158,0.88
2.449,1,50.42059304063213,0.88
2.45,1,50.43412252264973,0.88
2.451,1,50.44764516318569,0.88
2.452,1,50.46116096569955,0.88
2.453,1,50.474669933649096,0.88
2.454,1,50.48817207049039,0.88
2.455,1,50.50166737967773,0.88
2.456,1,50.51515586466367,0.88
2.457,1,50.52863752889901,0.88
2.458,1,50.54211237583283,0.88
2.459,1,50.555580408912434,0.88
2.46,1,50.56904163158341,0.88
2.461,1,50.58249604728958,0.88
2.462,1,50.59594365947305,0.88
2.463,1,50.60938447157415,0.88
2.464,1,50.622818487031516,0.88
2.465,1,50.63624570928201,0.88
2.466,1,50.64966614176076,0.88
2.467,1,50.66307978790118,0.88
2.468,1,50.67648665113492,0.88
2.469,1,50.68988673489191,0.88
2.47,1,50.70328004260034,0.88
2.471,1,50.71666657768668,0.88
2.472,1,50.730046343575644,0.88
2.473,1,50.74341934369022,0.88
2.474,1,50.756785581451695,0.88
2.475,1,50.77014506027959,0.88
2.476,1,50.7834977835917,0.88
2.477,1,50.7968437548041,0.88
2.478,1,50.810182977331166,0.88
2.479,1,50.82351545458549,0.88
2.48,1,50.83684118997799,0.88
2.481,1,50.85016018691781,0.88
2.482,1,50.86347244881243,0.88
2.483,1,50.876777979067555,0.88
2.484,1,50.89007678108718,0.88
2.485,1,50.90336885827361,0.88
2.486,1,50.91665421402739,0.88
2.487,1,50.92993285174736,0.88
2.488,1,50.94320477483065,0.88
2.489,1,50.95646998667265,0.88
2.49,1,50.96972849066708,0.88
2.491,1,50.982980290205866,0.88
2.492,1,50.9962253886793,0.88
2.493,1,51.0094637894759,0.88
2.494,1,51.022695495982525,0.88
2.495,1,51.03592051158426,0.88
2.496,1,51.04913883966452,0.88
2.497,1,51.062350483605,0.88
2.498,1,51.075555446785685,0.88
2.499,1,51.08875373258484,0.88
2.5,1,51.10194534437903,0.88
2.501,1,51.11513028554313,0.88
2.5020000000000002,1,51.12830855945028,0.88
2.503,1,51.14148016947192,0.88
2.504,1,51.154645118977804,0.88
2.505,1,51.16780341133595,0.88
2.5060000000000002,1,51.180955049912725,0.88
2.507,1,51.19410003807273,0.88
2.508,1,51.207238379178904,0.88
2.509,1,51.220370076592474,0.88
2.5100000000000002,1,51.23349513367299,0.88
2.511,1,51.246613553778246,0.88
2.512,1,51.25972534026441,0.88
2.513,1,51.272830496485895,0.88
2.5140000000000002,1,51.28592902579546,0.88
2.515,1,51.299020931544135,0.88
2.516,1,51.31210621708128,0.88
2.517,1,51.32518488575454,0.88
2.5180000000000002,1,51.338256940909886,0.88
2.519,1,51.35132238589159,0.88
2.52,1,51.36438122404223,0.88
2.521,1,51.3774334587027,0.88
2.5220000000000002,1,51.39047909321219,0.88
2.523,1,51.403518130908225,0.88
2.524,1,51.41655057512662,0.88
2.525,1,51.429576429201525,0.88
2.5260000000000002,1,51.44259569646538,0.88
2.527,1,51.45560838024896,0.88
2.528,1,51.46861448388134,0.88
2.529,1,51.48161401068991,0.88
2.5300000000000002,1,51.49460696400041,0.88
2.531,1,51.50759334713686,0.88
2.532,1,51.520573163421616,0.88
2.533,1,51.533546416175355,0.88
2.5340000000000003,1,51.54651310871707,0.88
2.535,1,51.55947324436407,0.88
2.536,1,51.57242682643201,0.88
