,,pre_execution_rejection_ratio,pre_execution_rejection_ratio,admitted_deadline_violation_ratio,admitted_deadline_violation_ratio,full_image_on_time_acceptance,full_image_on_time_acceptance,mean_complete_image_dice,mean_complete_image_dice,pixel_defect_recall,pixel_defect_recall,image_complete_miss_rate,image_complete_miss_rate,peak_modeled_temperature,peak_modeled_temperature
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
period_ms,lines,,,,,,,,,,,,,,
80,10,0.875,0.0,0.0,0.0,0.1,0.0,0.06429113907741159,0.002931845256589866,0.07885944429346689,0.013123218122430832,0.8672000000000001,0.008390470785361221,59.999840187040775,3.153842372879908e-05
90,4,0.625,0.0,0.0,0.0,0.25,0.0,0.1929058237360499,0.008951984664196815,0.2240958350735584,0.018208701367591326,0.6096,0.014538836878436264,59.99994555174976,5.357752265764408e-05
90,5,0.7,0.0,0.0,0.0,0.2,0.0,0.15931384493166037,0.007834952936436277,0.19981032885536004,0.02724900005482617,0.6834,0.007244921593011742,59.99993452893388,5.932535528212598e-05
90,6,0.75,0.0,0.0,0.0,0.1666666666666666,0.0,0.12920352816142905,0.002282081341123634,0.15857708917752925,0.003353821434052015,0.7382,0.0036113675122648645,59.999956933813095,3.662664049831647e-05
90,7,0.7857142857142857,0.0,0.0,0.0,0.1428571428571428,0.0,0.11151177373824088,6.703608384223791e-17,0.137102021272884,0.0,0.7751428571428571,0.0,59.999973798454405,2.269540776156999e-05
90,8,0.8125,0.0,0.0,0.0,0.125,0.0,0.0964529118680249,0.004475992332098425,0.11204791753677919,0.009104350683795661,0.8048,0.007269418439218092,59.99991579258964,6.807192899356725e-05
90,9,0.8333333333333334,0.0,0.0,0.0,0.11111111111111112,0.0,0.08673137957418733,7.601177430610147e-17,0.1066349054344653,0.0,0.8251111111111111,0.0,59.999981291772414,1.4472731030388668e-05
90,10,0.85,0.0,0.0,0.0,0.1,0.0,0.08069573113366646,0.004702653126999909,0.09880579961294259,0.014242853167715163,0.8416,0.007820201759261451,59.999936906532,7.591097312205331e-05
100,4,0.625,0.0,0.0,0.0,0.25,0.0,0.1929058237360499,0.008951984664196815,0.2240958350735584,0.018208701367591326,0.6096,0.014538836878436264,59.99985707652479,0.0001636339244475052
100,5,0.7,0.0,0.0,0.0,0.2,0.0,0.15931384493166037,0.007834952936436277,0.19981032885536004,0.02724900005482617,0.6834,0.007244921593011742,59.999827512711,0.00024948259117544284
100,6,0.75,0.0,0.0,0.0,0.1666666666666666,0.0,0.12920352816142905,0.002282081341123634,0.15857708917752925,0.003353821434052015,0.7382,0.0036113675122648645,59.9998908851072,0.0001089883926192082
