total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,period_ms,lines,epochs,seed,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,pre_execution_rejections,pre_execution_rejection_ratio,admitted_deadline_violations,admitted_deadline_violation_ratio,fully_accepted_images,full_image_on_time_acceptance,peak_modeled_temperature,mean_voltage,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds,hardware_input_gpu0,hardware_input_gpu1,simulation_host
28000,25000,0,0,0,3000,0,0,50,7,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,25000,0.8928571428571429,0,0.0,0,0.0,59.999879897666304,0.8474633333333501,0.6884000000000013,0.073757142857143,0.073757142857143,3000,0.07508712878561817,7000,7000,0.06058756119411416,940,0.4902259676097926,0.0742470031300914,0.9257529968699086,0.8828571428571429,0.4296384064156784,0.4111361503601074,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
28000,25000,0,0,0,3000,0,0,50,7,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,25000,0.8928571428571429,0,0.0,0,0.0,59.999842758575916,0.8473666666666836,0.6884000000000013,0.073757142857143,0.073757142857143,3000,0.07508712878561807,7000,7000,0.0605875611941141,940,0.4902259676097926,0.0742470031300914,0.9257529968699086,0.8828571428571429,0.4296384064156785,0.3566317558288574,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
28000,25000,0,0,0,3000,0,0,50,7,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,25000,0.8928571428571429,0,0.0,0,0.0,59.99996928129569,0.847480000000017,0.6884000000000013,0.073757142857143,0.073757142857143,3000,0.07508712878561809,7000,7000,0.06058756119411413,940,0.4902259676097925,0.0742470031300914,0.9257529968699086,0.8828571428571429,0.42963840641567835,0.3618345260620117,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
28000,25000,0,0,0,3000,0,0,50,7,1000,404,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,25000,0.8928571428571429,0,0.0,0,0.0,59.99995412327458,0.8475766666666836,0.6884000000000013,0.073757142857143,0.073757142857143,3000,0.075087128785618,7000,7000,0.06058756119411419,940,0.4902259676097927,0.0742470031300914,0.9257529968699086,0.8828571428571429,0.4296384064156785,0.34661293029785156,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
28000,25000,0,0,0,3000,0,0,50,7,1000,505,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,25000,0.8928571428571429,0,0.0,0,0.0,59.999905442483,0.847490000000017,0.6884000000000013,0.073757142857143,0.073757142857143,3000,0.07508712878561806,7000,7000,0.06058756119411412,940,0.4902259676097929,0.0742470031300914,0.9257529968699086,0.8828571428571429,0.4296384064156788,0.35337233543395996,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
28000,25000,0,0,0,3000,0,0,50,7,1000,606,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,25000,0.8928571428571429,0,0.0,0,0.0,59.99991007378331,0.847490000000017,0.6884000000000013,0.073757142857143,0.073757142857143,3000,0.07508712878561809,7000,7000,0.0605875611941141,940,0.49022596760979265,0.0742470031300914,0.9257529968699086,0.8828571428571429,0.4296384064156785,0.3578834533691406,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
28000,25000,0,0,0,3000,0,0,50,7,1000,707,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,25000,0.8928571428571429,0,0.0,0,0.0,59.999925323139145,0.8475966666666837,0.6884000000000013,0.073757142857143,0.073757142857143,3000,0.07508712878561807,7000,7000,0.06058756119411413,940,0.4902259676097926,0.0742470031300914,0.9257529968699086,0.8828571428571429,0.42963840641567846,0.3636746406555176,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
28000,25000,0,0,0,3000,0,0,50,7,1000,808,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,25000,0.8928571428571429,0,0.0,0,0.0,59.99992749297489,0.8474800000000169,0.6884000000000013,0.073757142857143,0.073757142857143,3000,0.07508712878561816,7000,7000,0.060587561194114146,940,0.4902259676097925,0.0742470031300914,0.9257529968699086,0.8828571428571429,0.42963840641567835,0.369598388671875,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
28000,25000,0,0,0,3000,0,0,50,7,1000,909,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,25000,0.8928571428571429,0,0.0,0,0.0,59.999938885934,0.847550000000017,0.6884000000000013,0.073757142857143,0.073757142857143,3000,0.0750871287856182,7000,7000,0.06058756119411413,940,0.4902259676097926,0.0742470031300914,0.9257529968699086,0.8828571428571429,0.42963840641567846,0.38136816024780273,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
28000,25000,0,0,0,3000,0,0,50,7,1000,1010,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,25000,0.8928571428571429,0,0.0,0,0.0,59.9999723456672,0.8475166666666837,0.6884000000000013,0.073757142857143,0.073757142857143,3000,0.07508712878561812,7000,7000,0.060587561194114146,940,0.49022596760979265,0.0742470031300914,0.9257529968699086,0.8828571428571429,0.4296384064156785,0.36408233642578125,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
32000,29000,0,0,0,3000,0,0,50,8,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,29000,0.90625,0,0.0,0,0.0,59.99997054546121,0.847610000000017,0.6884000000000013,0.06453750000000012,0.06453750000000012,3000,0.06466628852509267,8000,8000,0.05290856395275517,944,0.4844575101498299,0.05234189173784383,0.9476581082621561,0.897,0.43154894619707473,0.4296562671661377,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
32000,29000,0,0,0,3000,0,0,50,8,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,29000,0.90625,0,0.0,0,0.0,59.99997339351082,0.8475766666666836,0.6884000000000013,0.06453750000000012,0.06453750000000012,3000,0.06611658066221818,8000,8000,0.05464973724245432,928,0.5232725559248043,0.061529950706603526,0.9384700492933965,0.896,0.46862281868234995,0.3943309783935547,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
32000,29000,0,0,0,3000,0,0,50,8,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,True,True,0.0,0.0,0.0,0,29000,0.90625,0,0.0,0,0.0,59.99984761718873,0.8475333333333502,0.6884000000000013,0.06453750000000012,0.06453750000000012,3000,0.06616415962111882,8000,8000,0.050037707641982836,928,0.4710799736266935,0.05008312279597242,0.9499168772040276,0.905,0.4210422659847107,0.4087331295013428,T4_measured_input,degraded_T4_simulation_input,T4_execution_environment
