cooling_enabled,total_regions,mandatory_infeasible,optional_skipped,dispatch_infeasible,expired_waiting,completed,deadline_misses,thermal_violations,mandatory_released,mandatory_unique_terminal_uids,mandatory_pre_reject,mandatory_wait_expire,mandatory_late_complete,mandatory_on_time,mandatory_terminal_residual,mandatory_pre_rejection_rate,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_terminal_table_sha256,period_ms,lines,epochs,seed,budget_mode,network_mode,release_mode,priority_overhead_ms,all_regions_mandatory,enable_productive_cooling,fixed_voltage_index,enforce_thermal_feasibility,plant_thermal_response_factor,plant_ambient_c,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count,total_mandatory,mandatory_pre_execution_rejections,mandatory_rejection_ratio,admitted_mandatory_deadline_violations,admitted_mandatory_violation_ratio,peak_modeled_temperature,mean_voltage,completed_l1,completed_l2,completed_l3,completed_l4,completed_l5,dispatches,cooling_branch_dispatches,cooling_branch_rate,cooling_locally_decreasing_dispatches,cooling_locally_decreasing_rate,cooling_mean_planned_delta_c,cooling_total_iit_celsius_seconds,total_iit_celsius_seconds,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds
False,32000,6000,21000,0,0,5000,0,0,8000,8000,6000,0,0,2000,0,0.75,0.0,0.75,97f621bb94ffa2c21ab6b9797acc612d8dfa2403fc7157e00a87398b5763eef6,40,8,1000,101,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,8000,6000,0.75,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.09730625000000362,0.17210000000000034,5000,0.12163110170900718,8000,8000,0.05531545799698444,2232,0.3155947216513318,0.07081984736134063,0.9291801526386594,0.826,0.26027926365434734,2.9951372146606445
False,32000,6000,21000,0,0,5000,0,0,8000,8000,6000,0,0,2000,0,0.75,0.0,0.75,c4838e409d22d8ad648f7a69ffe137bfe4673efef25369be07eea77a0c578090,40,8,1000,202,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,8000,6000,0.75,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.09730625000000362,0.17210000000000034,5000,0.1214141657782808,8000,8000,0.05411787004534292,2136,0.3208129668281781,0.06456579353317918,0.9354342064668209,0.833,0.2666950967828352,3.031736135482788
False,32000,6000,21000,0,0,5000,0,0,8000,8000,6000,0,0,2000,0,0.75,0.0,0.75,eab19b10064473edc9dbd3416313d50f100a2f17e25f5c6ccf0841281a70c7bf,40,8,1000,303,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,8000,6000,0.75,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.09730625000000362,0.17210000000000034,5000,0.12139800187462067,8000,8000,0.05801000408838599,2232,0.32312397988360503,0.07702526967616605,0.9229747303238339,0.821,0.26511397579521906,2.946514844894409
False,32000,6000,21000,0,0,5000,0,0,8000,8000,6000,0,0,2000,0,0.75,0.0,0.75,1b9cb08b02eb6ba1f99f2e9b54b11365b4450ca3c69f9c814f24f386c0f88106,40,8,1000,404,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,8000,6000,0.75,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.09730625000000362,0.17210000000000034,5000,0.12158208868127557,8000,8000,0.0538004845739337,2184,0.3091813152370554,0.06534488686208127,0.9346551131379187,0.829,0.25538083066312167,3.0132675170898438
False,32000,6000,21000,0,0,5000,0,0,8000,8000,6000,0,0,2000,0,0.75,0.0,0.75,f2dfb97f786b1aed3a15b599605a3b3cc473ed25f773730109f248e9d69a4ac9,40,8,1000,505,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,8000,6000,0.75,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.09730625000000362,0.17210000000000034,5000,0.12177962106024516,8000,8000,0.05775413179514051,2296,0.3223994787437747,0.07513610023564853,0.9248638997643515,0.816,0.26464534694863423,3.021385669708252
False,32000,6000,21000,0,0,5000,0,0,8000,8000,6000,0,0,2000,0,0.75,0.0,0.75,672dda9b1eb6638f65c2d7f5c709d842d4ef18f35c02fb050d9ea90f86cbb512,40,8,1000,606,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,8000,6000,0.75,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.09730625000000362,0.17210000000000034,5000,0.12119644615668695,8000,8000,0.05461520670004418,2200,0.3172693309679557,0.0619690355736223,0.9380309644263777,0.828,0.2626541242679115,2.9915571212768555
False,32000,6000,21000,0,0,5000,0,0,8000,8000,6000,0,0,2000,0,0.75,0.0,0.75,f992235d8527af7dedb1f19ea6d329fab34c4c7cbc48c21c3e45eb24dae389a6,40,8,1000,707,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,8000,6000,0.75,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.09730625000000362,0.17210000000000034,5000,0.12120029555961828,8000,8000,0.058073447768947455,2232,0.3178092246943913,0.07185668771092374,0.9281433122890763,0.818,0.25973577692544386,2.9861087799072266
False,32000,6000,21000,0,0,5000,0,0,8000,8000,6000,0,0,2000,0,0.75,0.0,0.75,fbebac9b2d9b4418fc747b116f956e83cb5e17dc2a605bddba1efa2b902dccaf,40,8,1000,808,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,8000,6000,0.75,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.09730625000000362,0.17210000000000034,5000,0.12059016990315287,8000,8000,0.06004172192500856,2296,0.32645594238881864,0.06867816496979777,0.9313218350302023,0.812,0.2664142204638101,2.9951744079589844
False,32000,6000,21000,0,0,5000,0,0,8000,8000,6000,0,0,2000,0,0.75,0.0,0.75,e51f99873a7f2d35497d1f47a5cc48a90e954bb4517c701acb3a7405c1f2aa9e,40,8,1000,909,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,8000,6000,0.75,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.09730625000000362,0.17210000000000034,5000,0.12153405758127794,8000,8000,0.06372661937561493,2216,0.3511861313197547,0.07858770128810041,0.9214122987118996,0.807,0.28745951194413977,3.0086019039154053
False,32000,6000,21000,0,0,5000,0,0,8000,8000,6000,0,0,2000,0,0.75,0.0,0.75,42f7d840a24319166eed8aa60e812626eb64ea7ff87bc028b49bb1be6920759a,40,8,1000,1010,assigned_level_sensitivity,dynamic,periodic,0.0,False,False,,True,1.0,25.0,0.0,0.0,0.0,0,8000,6000,0.75,0,0.0,59.999994514045426,0.8107660000000577,3000,0,0,0,2000,5000,0,0.0,0,0.0,0.0,0,0.0,0.6227600000000232,0.09730625000000362,0.17210000000000034,5000,0.1222180517189077,8000,8000,0.0564623718286977,2152,0.3307758704262396,0.07176709032957412,0.9282329096704258,0.822,0.27431349859754195,2.9610297679901123
