period_ms,lines,seed,mandatory_rejection_ratio,admitted_mandatory_violation_ratio,mean_voltage,peak_modeled_temperature,total_iit_celsius_seconds,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
80,6,101,0.0,0.0,-0.0003687500000000288,0.00016253773546992534,0.0,0.0,0.0,0.0
80,6,202,0.0,0.0,-0.0003750000000000142,0.00017116340372069772,0.0,0.0,0.0,0.0
80,6,303,0.0,0.0,-0.00034250000000002334,0.00017099086655747442,0.0,0.0,0.0,0.0
80,6,404,0.0,0.0,-0.00039500000000014523,0.0001591509163461069,0.0,0.0,0.0,0.0
80,6,505,0.0,0.0,-0.00040250000000008335,0.00016360029781026242,0.0,0.0,0.0,0.0
80,6,606,0.0,0.0,-0.0003587500000000743,0.00013104450484746621,0.0,0.0,0.0,0.0
80,6,707,0.0,0.0,-0.00039125000000006516,0.00015461797102034325,0.0,0.0,0.0,0.0
80,6,808,0.0,0.0,-0.00032500000000013074,0.00017035170370860442,0.0,0.0,0.0,0.0
80,6,909,0.0,0.0,-0.0003862500000000324,0.00017082159311598843,0.0,0.0,0.0,0.0
80,6,1010,0.0,0.0,-0.0003187500000000343,0.0001713456393162005,0.0,0.0,0.0,0.0
80,8,101,0.0,0.0,-0.00037874999999998327,0.00016060711118370818,0.0,0.0,0.0,0.0
80,8,202,0.0,0.0,-0.0003750000000000142,0.00016218927616051815,0.0,0.0,0.0,0.0
80,8,303,0.0,0.0,-0.0003950000000000342,0.0001664070465707823,0.0,0.0,0.0,0.0
80,8,404,0.0,0.0,-0.0003587500000001853,0.0001701589537219661,0.0,0.0,0.0,0.0
80,8,505,0.0,0.0,-0.0003487500000001198,0.00016816009194542403,0.0,0.0,0.0,0.0
80,8,606,0.0,0.0,-0.00036125000000009067,0.00015547779091207303,0.0,0.0,0.0,0.0
80,8,707,0.0,0.0,-0.0003887500000001598,0.00017210512640986053,0.0,0.0,0.0,0.0
80,8,808,0.0,0.0,-0.0003387500000000543,0.00016479348634845792,0.0,0.0,0.0,0.0
80,8,909,0.0,0.0,-0.00033500000000008523,0.00016853361081814455,0.0,0.0,0.0,0.0
80,8,1010,0.0,0.0,-0.0003850000000000797,0.00016479238315980638,0.0,0.0,0.0,0.0
80,10,101,0.0,0.0,-0.00038125000000011067,0.00016822271812344525,0.0,0.0,0.0,0.0
80,10,202,0.0,0.0,-0.00041250000000003784,0.00016984662536856376,0.0,0.0,0.0,0.0
80,10,303,0.0,0.0,-0.00042250000000010335,0.0001690138672785224,0.0,0.0,0.0,0.0
80,10,404,0.0,0.0,-0.0003650000000000597,0.00017372752714805983,0.0,0.0,0.0,0.0
80,10,505,0.0,0.0,-0.00039875000000000327,0.00015626732368900775,0.0,0.0,0.0,0.0
80,10,606,0.0,0.0,-0.00038125000000011067,0.00016383517369433775,0.0,0.0,0.0,0.0
80,10,707,0.0,0.0,-0.0003787500000000943,0.00016170953254146525,0.0,0.0,0.0,0.0
80,10,808,0.0,0.0,-0.0003750000000000142,0.00014547870355841042,0.0,0.0,0.0,0.0
80,10,909,0.0,0.0,-0.00037249999999999783,0.00016532269614799588,0.0,0.0,0.0,0.0
80,10,1010,0.0,0.0,-0.00038500000000019075,0.00014923125637267276,0.0,0.0,0.0,0.0
100,4,101,0.0,0.0,-0.0003964285714277427,0.0001028823389219724,0.0,0.0009346175515790867,0.0002221285584770305,0.0
100,4,202,0.0,0.0,-5.142857142992341e-05,0.00022012140460958562,0.0,-0.0009061465247824918,0.0001447302686083951,0.0
100,4,303,0.0,0.0,0.0001678571428554987,5.559267269461543e-05,0.0,0.0006070656387988094,0.0005347817941088184,0.0
100,4,404,0.0,0.0,-0.000272857142858296,-1.4751294521886393e-05,0.0,-0.0005356140404121912,-7.312242587831363e-05,0.0017500000000000016
100,4,505,0.0,0.0,-0.0001521428571436001,0.0002738564894713136,0.0,-0.0006862562393608052,-0.0003817058632542558,0.0
100,4,606,0.0,0.0,-0.00032785714285787915,6.017423667969979e-05,0.0,-0.00024350515733062572,0.0001047432128334913,0.0
100,4,707,0.0,0.0,-0.0002785714285713503,-3.753226570069046e-05,0.0,-0.0006869168941174841,-3.8328226612316385e-05,0.0
100,4,808,0.0,0.0,0.00034142857142571703,1.3353702982499271e-05,0.0,-0.0007786845694841005,-0.0002365119467433452,0.0
100,4,909,0.0,0.0,1.0714285712976057e-05,-2.660392384257193e-05,0.0,-0.000764891864513173,0.0001335305959396793,0.0007500000000000007
100,4,1010,0.0,0.0,-0.0005807142857140457,0.0003438698402149498,0.0,-0.00014019843843632307,-0.0005465275409739512,0.0
100,6,101,0.0,0.0,-0.00029200000000007,8.418127883658144e-06,0.0,-3.68255057837108e-05,-4.580841277371239e-05,-0.0003333333333332966
100,6,202,0.0,0.0,-0.00024999999999997247,1.3170990804667326e-05,0.0,-3.49421640807035e-05,-5.9896440154083574e-06,0.00016666666666675933
100,6,303,0.0,0.0,-0.000260000000000149,7.158470793910965e-07,0.0,-0.00014077763241371333,-2.8924760262505345e-05,0.00033333333333340764
100,6,404,0.0,0.0,-0.0003030000000000532,3.06178998954465e-06,0.0,8.605480842660551e-05,-6.953344766957859e-05,0.00016666666666675933
100,6,505,0.0,0.0,-0.00023899999999998922,2.9703206180897723e-05,0.0,1.2845294445784639e-05,6.683398654810935e-06,0.0
100,6,606,0.0,0.0,-0.00024100000000004673,1.3849189102188575e-05,0.0,-8.178223089172487e-05,-0.00012292507947200826,0.0008333333333333526
100,6,707,0.0,0.0,-0.0003009999999999957,3.338062684576926e-05,0.0,9.742011524208061e-05,5.7258798752679585e-05,0.0
100,6,808,0.0,0.0,-0.00028100000000008674,2.7634572461465723e-06,0.0,-9.340732556339937e-05,2.1252246082098525e-05,0.0
100,6,909,0.0,0.0,-0.000276000000000054,4.503759214458114e-06,0.0,-0.0002506958826189176,-0.0001242988510350984,-0.0003333333333332966
100,6,1010,0.0,0.0,-0.00023100000000009224,2.2848881684467415e-05,0.0,6.302017934389781e-05,4.217478698920196e-05,0.0
100,8,101,0.0,0.0,-0.00025200000000003,2.0968748771110768e-05,0.0,-0.00017473764955580617,-2.2893903100201785e-05,0.00024999999999997247
100,8,202,0.0,0.0,-0.0003030000000000532,-0.0002714349770371882,0.0,6.093186760400271e-05,5.280434445809057e-06,0.00012500000000004174
100,8,303,0.0,0.0,-0.0002660000000000995,5.330751861265526e-06,0.0,2.4298812866405117e-05,-0.0001255094872252005,0.00012500000000004174
100,8,404,0.0,0.0,-0.0002870000000000372,3.072012506777355e-05,0.0,0.00023051694008129064,8.273539239211924e-06,-0.00024999999999997247
100,8,505,0.0,0.0,-0.00023600000000001398,-0.0001701427299565239,0.0,-7.931606120406554e-06,-5.441680883139233e-05,0.0
100,8,606,0.0,0.0,-0.00029400000000001647,2.378580342110581e-05,0.0,-0.00020583451921350748,-7.997926319297521e-05,0.0
100,8,707,0.0,0.0,-0.00029700000000010274,2.7831167692227154e-05,0.0,-0.00010421220793480068,-0.00017160639202720707,0.0
100,8,808,0.0,0.0,-0.00030799999999997496,5.2981327485213114e-06,0.0,3.258060149770314e-05,-9.555783271930629e-05,-0.00012499999999993072
100,8,909,0.0,0.0,-0.000284000000000062,-1.2493248171097093e-05,0.0,9.950654593379737e-05,2.586640131990725e-05,-0.00024999999999997247
100,8,1010,0.0,0.0,-0.0002870000000000372,-2.5019924478897337e-05,0.0,-2.4099539681396442e-05,-6.820775811100521e-06,-0.00012499999999993072
100,10,101,0.0,0.0,-0.0003020000000001355,2.1364522602596026e-05,0.0,-1.3378739110891935e-05,-1.042280484969682e-05,0.0
100,10,202,0.0,0.0,-0.0002889999999999837,2.2269215293135858e-05,0.0,0.00014447795284409926,3.608211010650009e-05,0.00029999999999996696
100,10,303,0.0,0.0,-0.00033200000000011,2.4197267364911568e-05,0.0,-1.7958500877809924e-05,-1.3868223930110779e-05,0.0
100,10,404,0.0,0.0,-0.0003030000000000532,3.412958896831242e-06,0.0,-6.948078343360642e-05,-7.452985484489305e-05,0.0
100,10,505,0.0,0.0,-0.00028200000000000447,-0.0008369790430649005,0.0,0.0001346232446697987,0.0002483339379301952,0.0
100,10,606,0.0,0.0,-0.000276000000000054,-0.00010724305089127029,0.0,-2.8824378013297958e-05,2.1661630007899224e-05,-9.999999999998899e-05
100,10,707,0.0,0.0,-0.00026300000000012425,1.6309053975760435e-05,0.0,4.644612320997554e-06,-4.280809567969168e-05,-9.999999999998899e-05
100,10,808,0.0,0.0,-0.00029000000000001247,-5.0704244713983826e-05,0.0,-4.256887454269498e-05,1.0056007842401682e-05,0.0
100,10,909,0.0,0.0,-0.0003370000000000317,-0.0004889868265109953,0.0,3.815171128439265e-05,-6.76307740540838e-06,0.00019999999999997797
100,10,1010,0.0,0.0,-0.0002910000000000412,-0.001063535030951357,0.0,-1.0383387211793105e-05,2.194187940690595e-05,-0.00029999999999996696
150,4,101,0.0,0.0,-0.016615843768168936,-3.6378837521056084e-05,0.0,-0.016772549287249305,0.0013654121632030725,-0.0072499999999999926
150,4,202,0.0,0.0,-0.016548123980338447,-4.8645122063817325e-06,0.0,-0.0151479730651633,0.0034226488167581337,-0.006499999999999992
150,4,303,0.0,0.0,-0.015981933974450135,3.764158393693151e-05,0.0,-0.019867024862637195,0.004415607468184812,0.0
150,4,404,0.0,0.0,-0.017565346790804903,-2.2526525036425937e-05,0.0,-0.013768323351072642,0.0036213786110855795,-0.0024999999999999883
150,4,505,0.0,0.0,-0.016516701191009897,-5.559640023022894e-06,0.0,-0.0144390874963925,0.005296888794813048,-0.003249999999999989
150,4,606,0.0,0.0,-0.016606491136513135,-8.548975112177004e-05,0.0,-0.01066685678070789,0.005143709831091248,-0.008250000000000007
150,4,707,0.0,0.0,-0.015519699325997838,-1.871856028401453e-05,0.0,-0.01174587882664202,0.005200563367232736,-0.00424999999999999
150,4,808,0.0,0.0,-0.016647916802851603,6.860710028888661e-05,0.0,-0.013643224112741492,0.0031365162411532976,-0.0040000000000000036
150,4,909,0.0,0.0,-0.0166336891433726,-2.1536598573845822e-05,0.0,-0.011254255155620174,0.005128770065341737,-0.008999999999999994
150,4,1010,0.0,0.0,-0.017243124026897982,-5.032060153098428e-05,0.0,-0.020974204628183557,0.0006132207159367242,-0.0020000000000000018
150,6,101,0.0,0.0,-0.00022822331332938983,0.00012261614139674748,0.0,0.0,0.0,0.0
150,6,202,0.0,0.0,-0.00021954545454527796,0.00012268267114023956,0.0,0.0,0.0,0.0
150,6,303,0.0,0.0,-0.00023872317206208304,-3.4572125748866256e-05,0.0,1.221592363709334e-05,0.0,0.0
150,6,404,0.0,0.0,-0.00022090909090877187,4.451742940858594e-05,0.0,0.0,0.0,0.0
150,6,505,0.0,0.0,-0.00021056940149133396,0.00012275724158428147,0.0,-3.229420129940985e-05,-5.907217721645708e-07,0.0
