axis,response_factor,ambient_c,period_ms,lines,epochs,seed,mandatory_admitted_dmr,mandatory_service_failure_rate,mandatory_pre_rejection_rate,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,average_temperature_c,iit_celsius_seconds,peak_temperature_c,observation_horizon_s
response,0.9,25.0,200,4,1000,202,0.0,0.0,0.0,4000,4000,0.4941155068577592,4000,0.49473506015035185,0.6360947542999943,0.3639052457000057,0.0625,0.0006195532925926672,58.8752529560006,0.0,59.98840733467082,199.98478787878787
response,0.9,25.0,200,4,1000,303,0.0,0.0,0.0,4000,4000,0.49300984417697674,4000,0.4934737667367764,0.6364067378219891,0.3635932621780109,0.06,0.0004639225597996566,58.922134940546215,0.0,59.98853368844743,199.98478787878787
response,0.9,25.0,200,4,1000,404,0.0,0.0,0.0,4000,4000,0.4944868450783325,4000,0.4955692003140415,0.6356812009774769,0.36431879902252307,0.06525,0.0010823552357089872,58.56800411492258,0.0,59.98849386484113,199.98478787878787
response,0.9,25.0,200,4,1000,505,0.0,0.0,0.0,4000,4000,0.49343441745688976,4000,0.4951948630526864,0.6346414035846041,0.3653585964153959,0.06425,0.0017604455957966336,58.62922020964441,0.0,59.98865526292718,199.98478787878787
response,0.9,25.0,200,4,1000,606,0.0,0.0,0.0,4000,4000,0.4901767694341685,3992,0.4923318102018571,0.6294212021528759,0.3705787978471241,0.06425,0.002155040767688632,58.83897886392891,0.0,59.98867024156066,199.97881818181813
response,0.9,25.0,200,4,1000,707,0.0,0.0,0.0,4000,4000,0.49458857626847474,4000,0.49544213000990034,0.6388878001749251,0.3611121998250749,0.06325,0.0008535537414255945,58.768390060394445,0.0,59.98855772365665,199.98775757575757
response,0.9,25.0,200,4,1000,808,0.0,0.0,0.0,4000,4000,0.4928790881542984,3992,0.49494694712828524,0.6343111626385349,0.36568883736146507,0.0665,0.002067858973986869,58.684201299009665,0.0,59.98874254327871,199.98775757575757
response,0.9,25.0,200,4,1000,909,0.0,0.0,0.0,4000,4000,0.49345784241034596,3992,0.49514091532194887,0.6363160482922467,0.36368395170775325,0.06375,0.001683072911602912,58.81485391937065,0.0,59.98858266229277,199.9800363636363
response,0.9,25.0,200,4,1000,1010,0.0,0.0,0.0,4000,4000,0.4974896476872281,3992,0.499031899386358,0.6371819055986494,0.3628180944013506,0.066,0.0015422516991299151,58.938953446524366,0.0,59.98866739697278,199.98775757575757
response,1.0,25.0,200,4,1000,101,0.0,0.0,0.0,4000,4000,0.49224269884925687,4000,0.49306246484262006,0.6386219032544456,0.36137809674555443,0.069,0.0008197659933631973,59.37109540230211,0.0,59.99991598152357,199.98478787878787
response,1.0,25.0,200,4,1000,202,0.0,0.0,0.0,4000,4000,0.49072024229380806,4000,0.4913397955864007,0.6315438646771268,0.36845613532287325,0.06,0.0006195532925926117,59.42658759577905,0.0,59.99998268675107,199.98474028520496
