configuration,total_regions,completed,expired_waiting,admission_infeasible,deadline_misses,thermal_violations,period_ms,lines,epochs,seed,scheduler,total_mandatory,missed_mandatory,mandatory_dmr,historical_completed_only_dice,historical_coverage_adjusted_dice,historical_mandatory_effective_dice,on_time_completed_regions,historical_weighted_coverage_utility,images,defective_images,mean_complete_image_dice,completed_only_images,mean_completed_only_dice,pixel_defect_recall,pixel_missed_detection_rate,image_complete_miss_rate,optimism_gap,runtime_seconds,release_mode,wcet_scale,mandatory_infeasible,optional_skipped,dispatch_infeasible,budget_mode,network_mode,overrun_probability,overrun_min_extra,overrun_max_extra,forced_overrun_count
EDF-Dynamic-Reservation,36000,5858,0,30142,0,0,50,9,1000,606,edf_dynamic_reservation,9000,8066,0.8962222222222223,0.6339800273130942,0.10316263888889184,0.07144062222222236,5858,0.09916460621652572,9000,9000,0.09045703084688476,1886,0.4617075128434365,0.11334384708186054,0.8866561529181395,0.8164444444444444,0.3712504819965517,0.854517936706543,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,36000,5894,0,30106,0,0,50,9,1000,707,edf_dynamic_reservation,9000,8030,0.8922222222222222,0.6331744146589939,0.10366472222222528,0.07419422222222237,5894,0.10018405955803,9000,9000,0.09031167086463991,1890,0.4633484679100298,0.11222240987941776,0.8877775901205822,0.816,0.3730367970453899,0.8666229248046875,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,36000,5862,0,30138,0,0,50,9,1000,808,edf_dynamic_reservation,9000,8062,0.8957777777777778,0.6340416240191245,0.10324311111111409,0.07174657777777792,5862,0.09933928117596771,9000,9000,0.08943948874566394,1880,0.45977930805748296,0.1109526328235844,0.8890473671764156,0.816,0.37033981931181903,0.8545935153961182,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,36000,5854,0,30146,0,0,50,9,1000,909,edf_dynamic_reservation,9000,8070,0.8966666666666666,0.6338728049197315,0.10307476111111412,0.0711346666666668,5854,0.09947704302240397,9000,9000,0.08964005745241505,1872,0.46375701686751414,0.11287947565960245,0.8871205243403976,0.8164444444444444,0.3741169594150991,0.9037153720855713,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,36000,5846,0,30154,0,0,50,9,1000,1010,edf_dynamic_reservation,9000,8078,0.8975555555555556,0.6343875812521559,0.10301749444444731,0.07052275555555569,5846,0.09916146128275785,9000,9000,0.08979997243169668,1872,0.46241684269231875,0.11190648821227525,0.8880935117877248,0.8177777777777778,0.37261687026062207,0.8483335971832275,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,40000,5900,0,34100,0,0,50,10,1000,101,edf_dynamic_reservation,10000,8960,0.896,0.6315725423729027,0.09315695000000314,0.07159360000000015,5900,0.09228242693623792,10000,10000,0.0779540054936123,1940,0.4365710280555144,0.13060751228296025,0.8693924877170398,0.846,0.3586170225619021,0.9934186935424805,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,40000,5840,0,34160,0,0,50,10,1000,202,edf_dynamic_reservation,10000,9160,0.916,0.6354136986301537,0.09277040000000245,0.05782560000000011,5840,0.08803877221517391,10000,10000,0.08087474822823967,1920,0.4460525667568629,0.08764264179238943,0.9123573582076105,0.836,0.3651778185286232,0.9868881702423096,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,40000,5680,0,34320,0,0,50,10,1000,303,edf_dynamic_reservation,10000,8980,0.898,0.6352580985915681,0.09020665000000268,0.07021680000000013,5680,0.08739201047873056,10000,10000,0.0855434138817632,1920,0.4800802631449891,0.10840805070799653,0.8915919492920035,0.824,0.39453684926322585,1.029317855834961,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,40000,5720,0,34280,0,0,50,10,1000,404,edf_dynamic_reservation,10000,9360,0.936,0.6372786713286832,0.09113085000000169,0.044057600000000086,5720,0.08627863365790073,10000,10000,0.08475585767595974,1880,0.48170098649830695,0.11121211079643499,0.888787889203565,0.836,0.3969451288223472,0.9784495830535889,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,40000,5880,0,34120,0,0,50,10,1000,505,edf_dynamic_reservation,10000,9100,0.91,0.634657823129269,0.09329470000000255,0.06195600000000012,5880,0.0885351683609562,10000,10000,0.07910491506720004,1940,0.4350597317529075,0.10671789955383472,0.8932821004461653,0.832,0.3559548166857075,0.9926884174346924,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,40000,5960,0,34040,0,0,50,10,1000,606,edf_dynamic_reservation,10000,9020,0.902,0.6313872483221692,0.0940767000000032,0.06746320000000013,5960,0.09139208392964318,10000,10000,0.08121189484561571,1880,0.4715912750518207,0.10847333233267813,0.8915266676673219,0.83,0.390379380206205,0.9881994724273682,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,40000,6040,0,33960,0,0,50,10,1000,707,edf_dynamic_reservation,10000,9140,0.914,0.6317344370861117,0.09539190000000285,0.05920240000000011,6040,0.09046103395625217,10000,10000,0.0892675735002109,1940,0.4912284532068801,0.1012270719930208,0.8987729280069792,0.83,0.40196087970666916,0.9882035255432129,periodic,1.0,,,,,,,,,
EDF-Dynamic-Reservation,40000,5820,0,34180,0,0,50,10,1000,808,edf_dynamic_reservation,10000,8980,0.898,0.6353374570446908,0.09244160000000252,0.07021680000000013,5820,0.08931147708629646,10000,10000,0.07608956548400332,1860,0.4405808735153444,0.07923614894134554,0.9207638510586544,0.838,0.3644913080313411,0.9883363246917725,periodic,1.0,,,,,,,,,
