period_ms,lines,configuration,mandatory_dmr,historical_coverage_adjusted_dice,historical_weighted_coverage_utility,historical_mandatory_effective_dice,mean_complete_image_dice,pixel_defect_recall,image_complete_miss_rate
80,6,HBTASP-Dynamic,0.1666666666666666,0.21579166666666677,0.2733622298974366,0.5736666666666678,0.120739713479266,0.15451283546368208,0.6552
80,7,EDF-Dynamic-Reservation,0.6228285714285715,0.25049875999998117,0.25147769438447326,0.25964481142857193,0.18418289972851512,0.2731591609224665,0.5986857142857143
80,7,HBTASP-Dynamic,0.2857142857142857,0.1849642857142858,0.23535632618619468,0.4917142857142867,0.1026868264931938,0.12865047303213611,0.7006571428571429
80,8,EDF-Dynamic-Reservation,0.6701,0.2192412574999835,0.22008956081217684,0.22710316000000041,0.16215897059431358,0.245317720804174,0.6491
80,8,HBTASP-Dynamic,0.375,0.1618437500000001,0.20662669259034533,0.4302500000000008,0.08817451771102676,0.1071250277467511,0.7384999999999999
80,9,EDF-Dynamic-Reservation,0.7066444444444444,0.19483236888887417,0.19559376229903577,0.2019459644444448,0.1432533664555118,0.21245712516191836,0.6878666666666666
80,9,HBTASP-Dynamic,0.4444444444444445,0.1438611111111112,0.18435923945512211,0.3824444444444452,0.07871503426436076,0.09446114080609924,0.7632
80,10,EDF-Dynamic-Reservation,0.7343999999999999,0.17599895499998652,0.176656172739384,0.1828390400000003,0.12793100210527403,0.1962503866823507,0.7183999999999999
80,10,HBTASP-Dynamic,0.5,0.1294750000000001,0.16676828746033123,0.3442000000000006,0.06870107015967039,0.07767032136610698,0.7894
90,4,EDF-Dynamic-Reservation,0.3362,0.4742354199999781,0.4715273574660414,0.45695992000000085,0.36440258168706874,0.5104774843923752,0.23420000000000002
90,4,HBTASP-Dynamic,0.0,0.43082410999998955,0.48455566754174023,0.6884000000000013,0.293669939388691,0.4289305720030356,0.32725
90,5,EDF-Dynamic-Reservation,0.46820000000000006,0.37920445499998223,0.3767650938590365,0.3660911200000007,0.2896167349229216,0.395573781382884,0.38639999999999997
90,5,HBTASP-Dynamic,0.0,0.2893313059999979,0.35594633163746703,0.6884000000000013,0.16967724280290045,0.23190867974425755,0.5465800000000001
90,6,EDF-Dynamic-Reservation,0.5566666666666666,0.31621537999998534,0.3142692997828262,0.3051906666666672,0.24320863276506893,0.3343725386306624,0.4874666666666666
90,6,HBTASP-Dynamic,0.0,0.19694697375000209,0.2571003752178776,0.6884000000000013,0.10495312720477831,0.11805571182207082,0.6845833333333333
90,7,EDF-Dynamic-Reservation,0.6184285714285714,0.27130799071427303,0.2697477478725745,0.2626737714285719,0.2091972236831948,0.2872574601889538,0.5593571428571429
90,7,HBTASP-Dynamic,0.1428571428571428,0.1688122532142875,0.22071135886770352,0.590057142857144,0.0893196003726154,0.10070043803805302,0.7308428571428571
90,8,EDF-Dynamic-Reservation,0.6681,0.23711770999998905,0.23576342871979997,0.2284799600000004,0.18219598403853005,0.25523384143785743,0.6170875
90,8,HBTASP-Dynamic,0.25,0.14771096718750154,0.193722840302799,0.516300000000001,0.07584791438956756,0.08366852809965927,0.7687375000000001
90,9,EDF-Dynamic-Reservation,0.7032222222222222,0.21101732611110124,0.2098040587047461,0.2043018222222226,0.16270953654354486,0.2234266947571812,0.6572888888888888
90,9,HBTASP-Dynamic,0.3333333333333333,0.13129907416666803,0.1722467486618222,0.4589333333333342,0.06814650835199447,0.07572064095162288,0.7927333333333333
90,10,EDF-Dynamic-Reservation,0.7356,0.18919618499999108,0.18795220364368997,0.18201296000000028,0.14605212594552747,0.20391433278676457,0.6921999999999999
90,10,HBTASP-Dynamic,0.4,0.11816867550000121,0.1554550190475081,0.4130400000000008,0.05973604039003013,0.063039799700809,0.8162100000000001
